ETC_20150317_000001	Kepa
ETC_20150317_000065	Es un secreto olvidado que los demonionos desplegaron a los Puragis en secreto para atacar a los soldados de Ruklys durante la guerra cívil.
ETC_20150317_000066	Puragi Azul
ETC_20150317_000067	Los Puragis Azules aman matar y saquear.
ETC_20150317_000068	Puragi Verde
ETC_20150317_000069	Jamás nadie ha visto la cara oculta tras su máscara.
ETC_20150317_000070	Puragi Rojo
ETC_20150317_000071	Puragi Grande
ETC_20150317_000072	Zigri
ETC_20150317_000073	Zigri Café
ETC_20150317_000074	Estos secuaces demoníacos disfrutan las matanzas.
ETC_20150317_000075	Zigri Negro
ETC_20150317_000076	Un secuaz demoníaco encontrado alrededor del mundo.
ETC_20150317_000077	Zigri Rojo
ETC_20150317_000078	Pescador
ETC_20150317_000079	La razón por la cual los Pescadores son considerados monstruos se debe a que sus cañas controlan a las criaturas.
ETC_20150317_000080	Pescador Azul
ETC_20150317_000081	Pescador Verde
ETC_20150317_000082	Pescador Rojo
ETC_20150317_000083	Las acciones de éste pescador son a veces inexplicables.
ETC_20150317_000084	Gribaru
ETC_20150317_000085	El vástago en su cabeza puede ser usado para diversos propósitos, cómo cebo atrayante y detector de blancos ocultos.
ETC_20150317_000086	Gribaru Enorme
ETC_20150317_000087	Griba del Bosque Espinoso
ETC_20150317_000088	Matsum
ETC_20150317_000089	Si el Matsum se origino de una planta, animal o mineral no es relevante. Lo que debes saber es que es peligroso.
ETC_20150317_000090	Matsuma
ETC_20150317_000091	Mirtis Ego
ETC_20150317_000092	Molich
ETC_20150317_000093	Mini Griba
ETC_20150317_000094	Griba Verde
ETC_20150317_000095	Griba Rojo
ETC_20150317_000096	A pesar de que sus colores los hacen muy llamativos, es muy difícil esquivar sus ataques.
ETC_20150317_000097	Griba Amarillo
ETC_20150317_000098	Griba Rojo Grande
ETC_20150317_000099	Griba Enorme
ETC_20150317_000100	Este monstruo ha sido descrito como duro de bloquear y duro de comer.
ETC_20150317_000101	Griba Azul Enorme
ETC_20150317_000102	Un monstruo grande, fuerte y duro, raramente presa de cazadores.
ETC_20150317_000103	Griba Verde Enorme
ETC_20150317_000104	Griba Rojo Enorme
ETC_20150317_000105	Kepa Viejo
ETC_20150317_000106	Los Kepas envejecen rápidamente a cambio de su fuerza. Ten cuidado con su caústico olor, que se ha vuelto más fuerte con la edad.
ETC_20150317_000107	Kepa Viejo de Gelsvas
ETC_20150317_000108	Kepa Negro Viejo
ETC_20150317_000109	Kepa Rojo Viejo
ETC_20150317_000110	Su arruinado color por envejecer sólo reafirma su peligrosidad.
ETC_20150317_000111	Kepa Grande Viejo
ETC_20150317_000112	Rafflesia
ETC_20150317_000113	Rafflesia Verde
ETC_20150317_000114	Rafflesia Negra
ETC_20150317_000115	Las hojas de esta planta son más fuertes que el cuero.
ETC_20150317_000116	Rafflesia Roja
ETC_20150317_000117	Raffly
ETC_20150317_000118	Incluso luego de sufrir mutaciones, los Raffly continúan cazando pequeños insectos.
ETC_20150317_000119	Raffly Azul
ETC_20150317_000120	Raffly Gris
ETC_20150317_000121	Raffly Negro
ETC_20150317_000122	Ridimed
ETC_20150317_000123	Ridimed Azul
ETC_20150317_000124	Aunque mutó de una hierba, ahora todo su cuerpo está hecho de sólida madera.
ETC_20150317_000125	Ridimed Negro
ETC_20150317_000126	Ridimed Roja
ETC_20150317_000127	Sakmoli
ETC_20150317_000128	Atacar sus piernas no causará que se derrumbe.
ETC_20150317_000129	Sakmoli Verde
ETC_20150317_000130	Sakmoli Naranjo
ETC_20150317_000131	Sakmoli Negro
ETC_20150317_000132	Rikaus
ETC_20150317_000133	Aparición Verde
ETC_20150317_000134	Los fantasmas afectados por demonios a menudo cambian su apariencia de esta manera.
ETC_20150317_000135	Aparición Negra
ETC_20150317_000136	Espectra
ETC_20150317_000137	Espectra Negro
ETC_20150317_000138	A diferencia de otros monstruos espectrales, estos monstruos eran almas malvadas incluso cuando estaban vivos.
ETC_20150317_000139	Espectro Gigante
ETC_20150317_000140	Espectro del Engaño
ETC_20150317_000141	Rikaus Verde
ETC_20150317_000142	Spectron
ETC_20150317_000143	Monarca Espectral
ETC_20150317_000144	Bola de Púas
ETC_20150317_000145	Esta semilla flotante fue transmutada perdiendo su suavidad exterior por un cuesco sólido y espinoso. Sin embargo, su flotabilidad se mantuvo intacta.
ETC_20150317_000146	Bola de Púas Enorme
ETC_20150317_000147	Espíritu de Madera
ETC_20150317_000148	Espíritu de Madera Azul
ETC_20150317_000149	Espíritu de Madera Verde
ETC_20150317_000150	Hombre de Madera
ETC_20150317_000151	El hecho que los hombres de madera no puedan moverse es una bendición.
ETC_20150317_000152	Hombre de Madera Azul
ETC_20150317_000153	Hombre de Madera Gris
ETC_20150317_000154	Hombre de Madera Rojo
ETC_20150317_000155	Limo Oscuro
ETC_20150317_000156	Aunque los Limos son muy similares, sus especies varían en base a los materiales de los cuales se originaron.
ETC_20150317_000157	Rusrat
ETC_20150317_000158	Estos guardianes fueron emplazados en varios lugares, empezando con el Mausoleo Real de Zachariel el Grande, para detener a los invasores. Su nombre proviene de los saqueadores de tumbas que se han encontrado con ellos.
ETC_20150317_000159	Madakia
ETC_20150317_000160	Los Madakias fueron creados por magos de la corte para expulsar intrusos más peligrosos que los saqueadores de tumbas.
ETC_20150317_000161	Rodador
ETC_20150317_000162	El Rodador es una de las diversas creaciones mágicas hechas para proteger tumbas selladas sin un guardian.
ETC_20150317_000163	Rodador x 3
ETC_20150317_000164	Mauros
ETC_20150317_000165	La caballería de roca del Mausoleo Real es una creación mágica diseñada para hacerle frente incluso al más armado de los caballeros.
ETC_20150317_000166	Trufa
ETC_20150317_000167	Por razones desconocidas, este monstruo le tiene un odio sin par a los humanos. Prefiere atacar humanos a otra presa más apropiada, incluso a costa de su propia supervivencia.
ETC_20150317_000168	Trufalia
ETC_20150317_000169	Bramble
ETC_20150317_000170	Bramble Ego
ETC_20150317_000171	Sauce
ETC_20150317_000172	Saucina
ETC_20150317_000173	Hanaming
ETC_20150317_000174	Las hojas que se caen del cadáver de un Hanaming se marchitan rápidamente.
ETC_20150317_000175	Chupacabra
ETC_20150317_000176	Sus números aumentaron luego del Gran Cataclismo Silvano; ahora tienden a competir con los humanos por territorio.
ETC_20150317_000177	Chupacabra Gris
ETC_20150317_000178	Chupacabra Gris Grande
ETC_20150317_000179	Los Chupacabras se mueven de manera muy sigilosa. Con eso dicho, es mucho más peligroso para los humanos si se trata de Chupacabras élite.
ETC_20150317_000180	Chupacabra Amarillo
ETC_20150317_000181	Popoleón
ETC_20150317_000182	Se dice que el canto de un Popoleón puede romper vidrio.
ETC_20150317_000183	Sauga
ETC_20150317_000184	Saugas
ETC_20150317_000185	Escorpion
ETC_20150317_000186	Tontulia
ETC_20150317_000187	La Tontulia es una mutación más móvil del Tontus.
ETC_20150317_000188	Tontus
ETC_20150317_000189	Cuando los cactús mutaron en Tontus la vida de los habitantes del desierto empeoró.
ETC_20150317_000190	Vekarabe
ETC_20150317_000191	Comparado con otra especies animales, El Vekarabe no cambió mucho cuando se conviritó en monstruo. Sin embargo, su agresividad es definitivamente nueva.
ETC_20150317_000192	Geppetto
ETC_20150317_000193	El nombre de este monstruo se adecúa a su apariencia, pero no refleja del todo su naturaleza.
ETC_20150317_000194	Boowook
ETC_20150317_000195	El Boowook es uno de los muchos sistemas defensivos dejados por Zachariel el Grande en el Mausoleo Real.
ETC_20150317_000196	Bearkaras
ETC_20150317_000197	Pino
ETC_20150317_000198	Pino fue nombrado así por sus primeros descubridores, tras notar que guardaba relación con Geppetto.
ETC_20150317_000199	Insecto Casco
ETC_20150317_000200	Monstruos que simplemente aumentaron su tamaño y agresividad son un placer a la vista, al menos cuando se comparan con los otros terrores sobre este mundo.
ETC_20150317_000201	Coliflor
ETC_20150317_000202	Aunque este monstruo no es particularmente hostíl contra los humanos, ataca a cualquier animal de sangre caliente.
ETC_20150317_000203	Coliflorr
ETC_20150317_000204	Vikaras
ETC_20150317_000205	Aunque originalmente fue creado para defender el Mausoleo Real, desde ese entonces ha cambiado a un estado en el que ataca a cualquiera que entre.
ETC_20150317_000206	Cocatriz
ETC_20150317_000207	Aunque que la Cocatriz es muy pequeña, su terrible aliento y mirada puede petrificar a sus enemigos al instante.
ETC_20150317_000208	Perro de la Tumba
ETC_20150317_000209	Zinutekas
ETC_20150317_000210	Aunque su apariencia puede ser confundida con otros monstruos similares, los Zinutekas fueron construídos artificialmente con magia.
ETC_20150317_000211	Pokubu
ETC_20150317_000212	A pesar de su apariencia, el Pokubu puede ser muy feroz.
ETC_20150317_000213	Pokubu Gris
ETC_20150317_000214	Zinutena
ETC_20150317_000215	Lauzinutena
ETC_20150317_000216	Dandel
ETC_20150317_000217	Lo que es más aterrador que el suave y queratinizado pelo de una Dandel, es su vitalidad y agresividad.
ETC_20150317_000218	Velaraña
ETC_20150317_000219	Velaraña Azul
ETC_20150317_000220	Velaraña Amarilla
ETC_20150317_000221	Flor Cadáver
ETC_20150317_000222	Flor Cadáver Azul
ETC_20150317_000223	Flor Cadáver Verde
ETC_20150317_000224	Sapo Alado
ETC_20150317_000225	Debido al ambiente, este monstruo adopta una variedad de formas. Éste evolucionó para tener alas.
ETC_20150317_000226	Sapo Verde Alado
ETC_20150317_000227	Sapo Gris Alado
ETC_20150317_000228	Hepaticofita
ETC_20150317_000229	Hepaticofita v2
ETC_20150317_000230	Insecto Hoja
ETC_20150317_000231	A pesar de su apariencia, estas criaturas no están huecas por dentro.
ETC_20150317_000232	Insecto Hoja de las Catacumbas
ETC_20150317_000233	Hepaticofita Rey
ETC_20150317_000234	Hepaticofita Desafortunada
ETC_20150317_000235	Salamion
ETC_20150317_000236	Salindy
ETC_20150317_000237	Salun
ETC_20150317_000238	Golem de la Tumba
ETC_20150317_000239	Originalmente fue creado con buenas intenciones, pero ahora el Golem vive poseído por una energía malvada.
ETC_20150317_000240	Draco
ETC_20150317_000241	Un demonio menor invocado por sus superiores para invadir las torres.
ETC_20150317_000242	Draco Verde
ETC_20150317_000243	Hay incontables tipos de estos demonios menores debido a su gran número.
ETC_20150317_000244	Draco Negro
ETC_20150317_000245	Alguna vez esta especie fue rara; sin embargo, sus numeros han aumentado significativamente.
ETC_20150317_000246	Cocatriz Enorme
ETC_20150317_000247	la Cocatriz Enorme es muy peligrosa, su mriada y aliento petrifican al enemigo. Enfrentar a esta criatura no debe ser tomado a la lígera.
ETC_20150317_000248	Cockat Verde
ETC_20150317_000249	Cockat Roja
ETC_20150317_000250	Secoya
ETC_20150317_000251	Secoya Azul
ETC_20150317_000252	Corrompido
ETC_20150317_000253	Corrompido Azul
ETC_20150317_000254	Gusano Saco
ETC_20150317_000255	El número de Gusanos Saco no ha ido en aumento, aunque con su población actual la extinción no es un problema.
ETC_20150317_000256	Gusano Saco
ETC_20150317_000257	Secoya Flama
ETC_20150317_000258	Su cuerpo se desvanece si te alejas por el tiempo suficiente.
ETC_20150317_000259	Garfío Viejo
ETC_20150317_000260	Usó su gancho para aferrarse a un monstruo de mayor tamaño y así escapar del reino demoníaco; cambió mucho en el proceso.
ETC_20150317_000261	Tocón
ETC_20150317_000262	Aunque ahora se leña menos, los monstruos originados por tocones siguen apareciendo. Aparentemente se forman de residuos de monstruos tipo planta.
ETC_20150317_000263	Golem de Grava de las Catacumbas
ETC_20150317_000264	Raíz Topo
ETC_20150317_000265	Poiming
ETC_20150317_000266	Raíz del Árbol Topo
ETC_20150317_000267	Ojo de Mirtis
ETC_20150317_000268	Ojo de la Gran Mirtis
ETC_20150317_000269	Piedra
ETC_20150317_000270	Bomba Exterminadora de Vubbes
ETC_20150317_000271	Bomba de Tiempo (sólo para puntuar en mazmorra)
ETC_20150317_000272	Bomba de Tiempo
ETC_20150317_000273	Piedra OBB
ETC_20150317_000274	Mago
ETC_20150317_000275	Maga
ETC_20150317_000276	Sello Dañado
ETC_20150317_000277	Símbolo del pecado
ETC_20150317_000278	(Temporal) Dispositivo de Control de la Prision
ETC_20150317_000279	Guardía Colapsado
ETC_20150317_000280	Mercenario
ETC_20150317_000281	Soldado Fantasma
ETC_20150317_000282	Desertor
ETC_20150317_000283	Soldado Lunatico
ETC_20150317_000284	Combatiente Amarrado
ETC_20150317_000285	Oficial de los Mercenarios
ETC_20150317_000286	Condotiero
ETC_20150317_000287	Mercenario con Escudo
ETC_20150317_000288	Armadura Fantasmal
ETC_20150317_000289	Armadura Fantasmal Grande
ETC_20150317_000290	Seguidor Fantasmal
ETC_20150317_000291	Chico Fantasma
ETC_20150317_000292	Madam Fantasma
ETC_20150317_000293	Tío Fantasma
ETC_20150317_000294	Líder de los Seguidores Fantasmales
ETC_20150317_000295	Seguidor Fantasmal (Alter Ego)
ETC_20150317_000296	Cuerno con 3 ojos
ETC_20150317_000297	Ala con 3 ojos
ETC_20150317_000298	Seguidor
ETC_20150317_000299	Zombie de la Infantería Pesada
ETC_20150317_000300	Libro Mágico
ETC_20150317_000301	Calabaza Inmadura
ETC_20150317_000302	Cebolla bien muerta
ETC_20150317_000303	PS de Gran Cebolla
ETC_20150317_000304	Blanco de Ámbar
ETC_20150317_000305	Empalizada de Estacas
ETC_20150317_000306	Guardian Defensivo
ETC_20150317_000307	Babauzi
ETC_20150317_000308	Zombie Nachi
ETC_20150317_000309	Zombie Berserker
ETC_20150317_000310	Velazombie
ETC_20150317_000311	Arquero Zombie
ETC_20150317_000312	Zombie en Silla de Ruedas
ETC_20150317_000313	Alto Arquero Vubbe
ETC_20150317_000314	Desmodus
ETC_20150317_000315	Una teoría popular indica que debes ser un demonio para poder usar este mensajero.
ETC_20150317_000316	Tesoro Vubbe
ETC_20150317_000317	Ladrón Vubbe
ETC_20150317_000318	El Vubbe más común de encontrar.
ETC_20150317_000319	Asaltante Vubbe Rojo
ETC_20150317_000320	A lo largo del tiempo, los Vubbes se han vuelto diversos e indistinguibles.
ETC_20150317_000321	Ladrón Vubbe Azul
ETC_20150317_000322	Vubbe Minero
ETC_20150317_000323	Es difícil determinar si sus roles mineros son permanentes debido a que se sabe muy poco del sistema social de los Vubbes.
ETC_20150317_000324	Minero Vubbe Rojo
ETC_20150317_000325	Minero Vubbe Azul
ETC_20150317_000326	Vubbe Minero Grande
ETC_20150317_000327	Arquero Vubbe
ETC_20150317_000328	Los Arqueros Vubbe se especializan en usar armas de rango. Además hay personas que aseguran que los Vubbes tienen roles definidos.
ETC_20150317_000329	Arquero Vubbe Rojo
ETC_20150317_000330	Es posible recolectar y usar los arcos y flechas que los Vubbes hacen.
ETC_20150317_000331	Buena Observación
ETC_20150317_000332	Ojo
ETC_20150317_000333	Guardía de la Prisión
ETC_20150317_000334	Seguidor del Paladín A1
ETC_20150317_000335	Seguidor del Paladín A2
ETC_20150317_000336	Seguidor del Paladín A3
ETC_20150317_000337	Mina Explosiva
ETC_20150317_000338	Mina Tóxica
ETC_20150317_000339	Mina Antipersonal
ETC_20150317_000340	Mina Infernal
ETC_20150317_000341	Aldeano
ETC_20150317_000342	Estatua de Bebé Ángel
ETC_20150317_000343	Estatuda del Salón
ETC_20150317_000344	Activador Oculto Tipo Monstruo
ETC_20150317_000345	Escultura de Búho
ETC_20150317_000346	Objeto Transparente
ETC_20150317_000347	Bola de Fuego
ETC_20150317_000348	Gran Caparazón de Tortuga Armada
ETC_20150317_000349	Caparazón de Tortuga Armada
ETC_20150317_000350	Hombre Apostáta (3D)
ETC_20150317_000351	Mujer Apostáta (3D)
ETC_20150317_000352	Modificación
ETC_20150317_000353	Abominación
ETC_20150317_000354	Alto Luchador Vubbe
ETC_20150317_000355	Monstruo Mago
ETC_20150317_000356	Batería (temporal)
ETC_20150317_000357	Bloque de Hielo
ETC_20150317_000358	Pilar de Hielo
ETC_20150317_000359	Fogata
ETC_20150317_000360	Mina
ETC_20150317_000361	Pavés
ETC_20150317_000362	Escudo Sub-cero
ETC_20150317_000363	Dado
ETC_20150317_000364	Catapulta
ETC_20150317_000365	Maraña de Mariposas
ETC_20150317_000366	Arbusto de Zarsas
ETC_20150317_000367	Poste de Práctica
ETC_20150317_000368	Cebo
ETC_20150317_000369	Objeto Golpeable
ETC_20150317_000370	Árbol con Grandes Ramas
ETC_20150317_000371	Un arbusto monstruoso que ataca lanzando ramas o golpeando con ellas.
ETC_20150317_000372	Rocator
ETC_20150317_000373	Venucelos
ETC_20150317_000374	De acuerdo a la legende este perro guardían es una creación que Zachariel el grande había planeado preservar.
ETC_20150317_000375	Golem del Cementerio
ETC_20150317_000376	Gran Jefe Kepa
ETC_20150317_000377	Poata
ETC_20150317_000378	Nonato
ETC_20150317_000379	Salamandra
ETC_20150317_000380	Saltistter
ETC_20150317_000381	Ginklas
ETC_20150317_000382	Ballena de Piedra
ETC_20150317_000383	Tutu
ETC_20150317_000384	Yonazolem
ETC_20150317_000385	Genio Maestro
ETC_20150317_000386	Biteregina
ETC_20150317_000387	Hierba Iltis
ETC_20150317_000388	Goblin de Madera Rojo Gigante
ETC_20150317_000389	Lepus
ETC_20150317_000390	Muscaria
ETC_20150317_000391	Chafer
ETC_20150317_000392	Gaigalas
ETC_20150317_000393	Tejedora del Trono
ETC_20150317_000394	Bebraspion
ETC_20150317_000395	Líquen Blando
ETC_20150317_000396	Sparnas
ETC_20150317_000397	Cargador de Minas
ETC_20150317_000398	Rajarana
ETC_20150317_000399	Clamatormentas Sombrío
ETC_20150317_000400	Helgasercle
ETC_20150317_000401	Necroventer
ETC_20150317_000402 Lutopus Contorneante
ETC_20150317_000403	Linkroller
ETC_20150317_000404	Torturoca
ETC_20150317_000405	Yekub
ETC_20150317_000406	Hierba Rytas Venenosa
ETC_20150317_000407	Ramlopendra
ETC_20150317_000408	Inferbovino
ETC_20150317_000409	Carnívora Salvaje
ETC_20150317_000410	Señor de la Tumba
ETC_20150317_000411	Achat
ETC_20150317_000412	Shnayim
ETC_20150317_000413	Mielpin
ETC_20150317_000414	Rajaperla
ETC_20150317_000415	Cíclope
ETC_20150317_000416	Archon
ETC_20150317_000417	Caparazón
ETC_20150317_000418	Hombre lobo
ETC_20150317_000419	Tini
ETC_20150317_000420	Debido a su linda apariencia muchos han tratado de conquistar el corazon de Tini, ninguno lo ha logrado.
ETC_20150317_000421	Árbol Ambulo
ETC_20150317_000422	El Árbol Ambulo es diferente a muchos monstruos originados en el reino demoníaco pues no es una deformación de un ser o cosa.
ETC_20150317_000423	Golemlet
ETC_20150317_000424	Vubbesqua
ETC_20150317_000425	Spion
ETC_20150317_000426	Está muy bien entrenado para obedecer todas las órdenes de su amo. Lamentablemente, su dueño usualmente es un demonio.
ETC_20150317_000427	Mirtislampa
ETC_20150317_000428	Spekull
ETC_20150317_000429	Scap
ETC_20150317_000430	Despojos
ETC_20150317_000431	Los Despojos son unos monstruos tipo demonio originados cómo un sub-producto de cuando un monstruo más poderoso es transformado en fantasma.
ETC_20150317_000432	Yekubite
ETC_20150317_000433	El Yekub desata su infame grito que produce millares de secuaces. Yekubite es el nombre dado a esos secuaces.
ETC_20150317_000434	Trozo de Estatua
ETC_20150317_000435	Un monstruo poseído que está obsesionado con las divinas Estatuas de la Diosa.
ETC_20150317_000436	Scap Nonato
ETC_20150317_000437	Cire
ETC_20150317_000438	Este monstruo no parece haber sido transmutado de plantas sino que de flora podrida. Sin embargo, no hay evidencia que apoye esta conclusión.
ETC_20150317_000439	Ritasfung
ETC_20150317_000440	Tisfung
ETC_20150317_000441	Mushpung
ETC_20150317_000442	Árbgool
ETC_20150317_000443	Luego de transformarse en un monstruo con un cuerpo de madera reforzado y sin hojas, el Árbgool ha reemplazado su dieta fotosíntetica con la caza.
ETC_20150317_000444	Cyst
ETC_20150317_000445	Ammon
ETC_20150317_000446	Desde tiempos inmemoriales, Ammon ha dañado incontables personas y monstruos.
ETC_20150317_000447	Operador
ETC_20150317_000448	Aunque mantuvo su forma original, el Operador ha desarrollado un comportamiento extremedamente violento y peligroso.
ETC_20150317_000449	Chafperador
ETC_20150317_000450	Un híbrido entre Avispa y Escarabajo gravemente mutado que comparte carácteristicas de ambos, operan en enjambres.
ETC_20150317_000451	Ramlarva
ETC_20150317_000452	Antes de que fuese revelada cómo una planta, se especulaba que era la larva de un monstruo.
ETC_20150317_000453	Infernovillo
ETC_20150317_000454	Infrogalas
ETC_20150317_000455	Carnívofung
ETC_20150317_000456	Avisper
ETC_20150317_000457	Los animales que vivían en el Mausoleo Real han sido deformados por la energía maligna.
ETC_20150317_000458	Karas
ETC_20150317_000459	Es una criatura mágica cuyo nombre proviene de los deseos de los golems.
ETC_20150317_000460	Echad
ETC_20150317_000461	Una criatura mágica creada para proteger el Mausoleo Real. A pesar de ser débil, es lo suficientemente fuerte cómo para resistir los poderes de las Diosas.
ETC_20150317_000462	Shtayim
ETC_20150317_000463	A pesar de su apariciencia, esta creación mágica ha recibido la bendición de la Diosa. Puede causarle daño crítico a los Demonios.
ETC_20150317_000464	Undetumbas
ETC_20150317_000465	Muchas criaturas fueron colocadas en el Mausoleo Real, incluyendo el Undetumbas, para protegerlo contra los demonios.
ETC_20150317_000466	Graztas
ETC_20150317_000467	Abogust
ETC_20150317_000468	Tejedora
ETC_20150317_000469	Los rumores dicen que la Tejedora se encuentra buscando telas de roca.
ETC_20150317_000470	Hallowventer
ETC_20150317_000471	No mires directamente su capucha.
ETC_20150317_000472	Meleech
ETC_20150317_000473	Firm and toxic, their blood-sucking ability is unique.
ETC_20150317_000474	Infro Salamandra
ETC_20150317_000475	Zolem
ETC_20150317_000476	A diferencia de los Golems tradicionales; el Zolem es movido por un aura misteriosa, no magia.
ETC_20150317_000477	Kepa Invasor
ETC_20150317_000478	Aunque es un Kepa de nombre, realmente provino del reino demoniaco.
ETC_20150317_000479	Amanita
ETC_20150317_000480	Goblin de Madera
ETC_20150317_000481	Un goblin malvado, invocado por los Vubbes. A veces aparece en áreas donde no hay signos de Vubbes.
ETC_20150317_000482	Goblin de Madera Rojo
ETC_20150317_000483	Esclavo del Templo
ETC_20150317_000484	Aroaro
ETC_20150317_000485	Maderin
ETC_20150317_000486	Orca de roca
ETC_20150317_000487	Monstruo mutante que se ve cómo un delfín. Sus otras características corresponden a una Ballena de Piedra pequeña.
ETC_20150317_000488	Rajaperlita
ETC_20150317_000489	Drape
ETC_20150317_000490	Aunque es un tipo de Clyra por su cola, est monstruo parece haber sido transmutado de una calabaza.
ETC_20150317_000491	Infrortador
ETC_20150317_000492	A medida que la población de demonios se expandió, nuevas especies aparecieron. El Infrortador es una de esas especies.
ETC_20150317_000493	Lepusnejo
ETC_20150317_000494	En el pasado este animal era muy amigable con los humanos pero ahora es más peligroso que un oso.
ETC_20150317_000495	Hierba Nu
ETC_20150317_000496	Aveperla
ETC_20150317_000497	Minos
ETC_20150317_000498	Armaduri
ETC_20150317_000499	Los Armaduri son dullahans cuya armadura es mantenida por energía maligna.
ETC_20150317_000500	Palanca de Mina
ETC_20150317_000501	Shadowgaler_summon
ETC_20150317_000502	Sabuezo
ETC_20150317_000503	¿Será eso otra cola?
ETC_20150317_000504	Stoulet
ETC_20150317_000505	Un demonio que respeta al fuerte y es cruel contra el débil. Aunque, su agresividad vuelve trivial esta característica.
ETC_20150317_000506	Rajarenacuajo
ETC_20150317_000507	Cutícula
ETC_20150317_000508	Infroburk
ETC_20150317_000509	No se sabe con certeza a que monstruo se parece el Infroburk, pero ciertamente es feroz.
ETC_20150317_000510	Soldado Mandara
ETC_20150317_000511	Doncella Nocturna
ETC_20150317_000512	Wargo
ETC_20150317_000513	Saltisdaughter
ETC_20150317_000514	Luchador de la Prisión
ETC_20150317_000515	Ellos matan a sus camaradas demoníacos por ocio.
ETC_20150317_000516	Corazaverde
ETC_20150317_000517	Sparnicht
ETC_20150317_000518	Infrorocator
ETC_20150317_000519	Un pequeño monstruo que es mitad tortuga, mitad mineral. Prefiere vivir solo que en grupo.
ETC_20150317_000520	Gusano de las Catacumbas
ETC_20150317_000521	Huevo de Gusano
ETC_20150317_000522	Gusano Verde
ETC_20150317_000523	Gusano Amarillo
ETC_20150317_000524	Huevo de Gusano Verde
ETC_20150317_000525	Huevo de Gusano Amarillo
ETC_20150317_000526	Cactusvel
ETC_20150317_000527	Kirmeleech
ETC_20150317_000528	Magburk
ETC_20150317_000529	Drapeliun
ETC_20150317_000530	Sparnashorn
ETC_20150317_000531	Hierrobaum
ETC_20150317_000532	Persecutor Vubbe
ETC_20150317_000533	Topo de Vidrío
